,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150
1,0500000US01003,"Baldwin County, Alabama",219405,126865,46838,44984
2,0500000US01015,"Calhoun County, Alabama",110599,66508,20145,30186
3,0500000US01043,"Cullman County, Alabama",82575,48836,15046,16518
4,0500000US01049,"DeKalb County, Alabama",70682,41789,11511,20028
5,0500000US01051,"Elmore County, Alabama",76605,46324,12362,16230
6,0500000US01055,"Etowah County, Alabama",100640,59868,19575,30755
7,0500000US01069,"Houston County, Alabama",104421,62095,18622,31305
8,0500000US01073,"Jefferson County, Alabama",645037,391518,105640,172879
9,0500000US01077,"Lauderdale County, Alabama",91068,53785,19028,25488
10,0500000US01081,"Lee County, Alabama",158675,103444,20581,39565
11,0500000US01083,"Limestone County, Alabama",95319,57642,15742,20888
12,0500000US01089,"Madison County, Alabama",363294,226240,56664,67773
13,0500000US01095,"Marshall County, Alabama",95577,55348,16182,24762
14,0500000US01097,"Mobile County, Alabama",406842,244962,66629,107801
15,0500000US01101,"Montgomery County, Alabama",217654,132033,34819,50958
16,0500000US01103,"Morgan County, Alabama",116997,69662,21183,29001
17,0500000US01115,"St. Clair County, Alabama",87209,52978,14207,15646
18,0500000US01117,"Shelby County, Alabama",215009,129837,34966,24023
19,0500000US01121,"Talladega County, Alabama",75919,45246,14163,20477
20,0500000US01125,"Tuscaloosa County, Alabama",199237,127762,28102,51848
21,0500000US01127,"Walker County, Alabama",61977,36861,11826,19799
22,0500000US02020,"Anchorage Municipality, Alaska",281214,181572,31752,48985
23,0500000US02090,"Fairbanks North Star Borough, Alaska",92600,59446,10882,9825
24,0500000US02170,"Matanuska-Susitna Borough, Alaska",105790,64321,13556,17711
25,0500000US04001,"Apache County, Arizona",70651,40238,11550,32045
26,0500000US04003,"Cochise County, Arizona",119881,64656,28660,34510
27,0500000US04005,"Coconino County, Arizona",129443,83484,18513,32238
28,0500000US04013,"Maricopa County, Arizona",4427300,2700001,690293,865874
29,0500000US04015,"Mohave County, Arizona",208280,108161,64953,55958
30,0500000US04017,"Navajo County, Arizona",108451,59055,20411,44667
31,0500000US04019,"Pima County, Arizona",1017001,595892,209699,230609
32,0500000US04021,"Pinal County, Arizona",434444,238712,94936,89459
33,0500000US04025,"Yavapai County, Arizona",229787,117448,76716,51135
34,0500000US04027,"Yuma County, Arizona",207253,114440,40461,70240
35,0500000US05007,"Benton County, Arkansas",275215,165767,37399,48348
36,0500000US05031,"Craighead County, Arkansas",106414,66515,14129,28312
37,0500000US05045,"Faulkner County, Arkansas",120947,76813,15636,30722
38,0500000US05051,"Garland County, Arkansas",97858,55086,23483,28399
39,0500000US05069,"Jefferson County, Arkansas",60421,34887,11289,20584
40,0500000US05085,"Lonoke County, Arkansas",72528,44159,9958,13916
41,0500000US05119,"Pulaski County, Arkansas",385112,234056,62171,102232
42,0500000US05125,"Saline County, Arkansas",121089,70596,22383,20911
43,0500000US05131,"Sebastian County, Arkansas",125884,74943,20894,35937
44,0500000US05143,"Washington County, Arkansas",230244,145536,28317,66509
45,0500000US05145,"White County, Arkansas",74944,44142,12915,23585
46,0500000US06001,"Alameda County, California",1642900,1074841,234514,217258
47,0500000US06007,"Butte County, California",213523,130620,39773,49860
48,0500000US06013,"Contra Costa County, California",1143399,703699,184280,148866
49,0500000US06017,"El Dorado County, California",189968,111587,41885,26075
50,0500000US06019,"Fresno County, California",981920,581148,123119,312911
51,0500000US06023,"Humboldt County, California",132369,82482,24836,35289
52,0500000US06025,"Imperial County, California",170050,95696,23625,64887
53,0500000US06029,"Kern County, California",872223,518154,99984,290671
54,0500000US06031,"Kings County, California",138401,81906,15583,37332
55,0500000US06033,"Lake County, California",63532,36119,14177,19286
56,0500000US06037,"Los Angeles County, California",9872009,6380173,1385408,2217451
57,0500000US06039,"Madera County, California",148449,83423,22343,44408
58,0500000US06041,"Marin County, California",253444,144180,58452,27393
59,0500000US06045,"Mendocino County, California",85168,47185,20007,21172
60,0500000US06047,"Merced County, California",270830,160293,31292,72350
61,0500000US06053,"Monterey County, California",416906,246094,59542,94344
62,0500000US06055,"Napa County, California",134438,80915,26305,15394
63,0500000US06057,"Nevada County, California",98775,54741,27299,18147
64,0500000US06059,"Orange County, California",3138405,1979561,478660,481267
65,0500000US06061,"Placer County, California",395459,229983,78104,46408
66,0500000US06065,"Riverside County, California",2427100,1463453,362756,470230
67,0500000US06067,"Sacramento County, California",1529955,952287,220843,313944
68,0500000US06071,"San Bernardino County, California",2130585,1314309,255835,491088
69,0500000US06073,"San Diego County, California",3255097,2074944,477200,567613
70,0500000US06075,"San Francisco County, California",867649,613604,139273,128608
71,0500000US06077,"San Joaquin County, California",742138,446867,95509,178487
72,0500000US06079,"San Luis Obispo County, California",267499,160916,58573,43814
73,0500000US06081,"San Mateo County, California",761098,482938,124943,73284
74,0500000US06083,"Santa Barbara County, California",424175,261041,69004,87969
75,0500000US06085,"Santa Clara County, California",1892698,1222372,262631,186665
76,0500000US06087,"Santa Cruz County, California",261453,163002,47701,49747
77,0500000US06089,"Shasta County, California",177226,101893,37426,38266
78,0500000US06095,"Solano County, California",435439,267777,71271,59594
79,0500000US06097,"Sonoma County, California",486191,292877,100978,63830
80,0500000US06099,"Stanislaus County, California",546896,328331,72091,133061
81,0500000US06101,"Sutter County, California",96166,56772,14606,23757
82,0500000US06103,"Tehama County, California",64024,35963,13253,19601
83,0500000US06107,"Tulare County, California",460020,267365,52741,145506
84,0500000US06111,"Ventura County, California",832477,511186,135107,122158
85,0500000US06113,"Yolo County, California",211872,140555,27938,53500
86,0500000US06115,"Yuba County, California",76652,45645,10196,20029
87,0500000US08001,"Adams County, Colorado",513042,324649,54510,80781
88,0500000US08005,"Arapahoe County, Colorado",648857,413114,86412,80386
89,0500000US08013,"Boulder County, Colorado",313858,206405,46662,48616
90,0500000US08014,"Broomfield County, Colorado",69782,45062,9511,3922
91,0500000US08031,"Denver County, Colorado",714823,493215,84694,127539
92,0500000US08035,"Douglas County, Colorado",350203,217804,43946,15991
93,0500000US08041,"El Paso County, Colorado",701761,438990,94276,115714
94,0500000US08059,"Jefferson County, Colorado",573955,364797,97231,66258
95,0500000US08069,"Larimer County, Colorado",346494,222154,57107,54264
96,0500000US08077,"Mesa County, Colorado",151062,88399,30659,26849
97,0500000US08101,"Pueblo County, Colorado",164979,97207,30859,43976
98,0500000US08123,"Weld County, Colorado",317062,193950,39962,53262
99,0500000US09001,"Fairfield County, Connecticut",926326,569120,149534,133804
100,0500000US09003,"Hartford County, Connecticut",869838,536961,150187,146240
101,0500000US09005,"Litchfield County, Connecticut",178078,107624,38807,20494
102,0500000US09007,"Middlesex County, Connecticut",157297,97162,32375,21979
103,0500000US09009,"New Haven County, Connecticut",828166,512003,147771,167006
104,0500000US09011,"New London County, Connecticut",253622,155884,48054,37567
105,0500000US09013,"Tolland County, Connecticut",135607,86248,23850,16981
106,0500000US09015,"Windham County, Connecticut",111512,70226,18519,22630
107,0500000US10001,"Kent County, Delaware",174297,103922,31392,38329
108,0500000US10003,"New Castle County, Delaware",541125,336753,87703,83956
109,0500000US10005,"Sussex County, Delaware",229533,121387,66648,46524
110,0500000US11001,"District of Columbia, District of Columbia",673041,461628,85100,129981
111,0500000US12001,"Alachua County, Florida",255751,169938,38203,72366
112,0500000US12005,"Bay County, Florida",172273,105040,31551,29399
113,0500000US12009,"Brevard County, Florida",595223,343799,144190,106514
114,0500000US12011,"Broward County, Florida",1936565,1200766,331078,409543
115,0500000US12015,"Charlotte County, Florida",185164,86879,76848,37987
116,0500000US12017,"Citrus County, Florida",146830,71223,54489,36201
117,0500000US12019,"Clay County, Florida",216998,132869,35073,32297
118,0500000US12021,"Collier County, Florida",381881,191890,125945,59044
119,0500000US12023,"Columbia County, Florida",66404,38610,12844,16130
120,0500000US12031,"Duval County, Florida",934419,586916,135137,214555
121,0500000US12033,"Escambia County, Florida",299948,182794,52809,75772
122,0500000US12035,"Flagler County, Florida",114514,59983,35642,20729
123,0500000US12053,"Hernando County, Florida",190472,103378,52960,46143
124,0500000US12055,"Highlands County, Florida",104857,49787,36843,28240
125,0500000US12057,"Hillsborough County, Florida",1453868,919844,211620,319292
126,0500000US12061,"Indian River County, Florida",158418,78549,54192,32707
127,0500000US12069,"Lake County, Florida",362014,196382,97971,78785
128,0500000US12071,"Lee County, Florida",761876,405722,223033,145252
129,0500000US12073,"Leon County, Florida",279640,186354,39843,78584
130,0500000US12081,"Manatee County, Florida",398980,215174,112697,79677
131,0500000US12083,"Marion County, Florida",355224,184712,105257,87068
132,0500000US12085,"Martin County, Florida",157621,81353,50687,24926
133,0500000US12086,"Miami-Dade County, Florida",2683078,1694298,444184,721018
134,0500000US12087,"Monroe County, Florida",73023,45013,17502,10763
135,0500000US12089,"Nassau County, Florida",87600,49932,20491,13007
136,0500000US12091,"Okaloosa County, Florida",203287,124205,33986,41795
137,0500000US12095,"Orange County, Florida",1359610,892229,167720,303380
138,0500000US12097,"Osceola County, Florida",373160,233750,50085,88336
139,0500000US12099,"Palm Beach County, Florida",1473989,836134,359472,294277
140,0500000US12101,"Pasco County, Florida",546086,312763,123438,106918
141,0500000US12103,"Pinellas County, Florida",957801,564615,241951,182986
142,0500000US12105,"Polk County, Florida",709779,407644,146824,185797
143,0500000US12107,"Putnam County, Florida",72836,40533,17269,26496
144,0500000US12109,"St. Johns County, Florida",261736,150781,54902,25746
145,0500000US12111,"St. Lucie County, Florida",325399,181518,80414,61913
146,0500000US12113,"Santa Rosa County, Florida",177194,107672,30757,33719
147,0500000US12115,"Sarasota County, Florida",427475,209227,158886,59967
148,0500000US12117,"Seminole County, Florida",467578,296293,73611,78269
149,0500000US12119,"Sumter County, Florida",122539,35836,78029,17419
150,0500000US12127,"Volusia County, Florida",542036,312966,134126,122588
151,0500000US12131,"Walton County, Florida",72352,42889,14626,15293
152,0500000US13013,"Barrow County, Georgia",82527,51191,10335,11542
153,0500000US13015,"Bartow County, Georgia",106041,65015,15910,26196
154,0500000US13021,"Bibb County, Georgia",146526,87038,23573,51112
155,0500000US13031,"Bulloch County, Georgia",71375,47773,8871,21707
156,0500000US13045,"Carroll County, Georgia",116210,72097,16295,26568
157,0500000US13047,"Catoosa County, Georgia",67053,39915,11717,12560
158,0500000US13051,"Chatham County, Georgia",277382,172371,45406,68409
159,0500000US13057,"Cherokee County, Georgia",256722,157118,37961,31986
160,0500000US13059,"Clarke County, Georgia",116127,80298,14111,47975
161,0500000US13063,"Clayton County, Georgia",286761,179264,27584,78917
162,0500000US13067,"Cobb County, Georgia",746602,478943,94902,121463
163,0500000US13073,"Columbia County, Georgia",155650,95195,21845,11412
164,0500000US13077,"Coweta County, Georgia",147970,90461,21470,23656
165,0500000US13089,"DeKalb County, Georgia",743480,476605,96338,152951
166,0500000US13095,"Dougherty County, Georgia",84200,49631,14385,34657
167,0500000US13097,"Douglas County, Georgia",144305,90568,17348,25756
168,0500000US13113,"Fayette County, Georgia",113009,65827,21613,11519
169,0500000US13115,"Floyd County, Georgia",93975,55344,16422,25063
170,0500000US13117,"Forsyth County, Georgia",243387,147918,30291,17620
171,0500000US13121,"Fulton County, Georgia",1030412,679212,125000,200068
172,0500000US13127,"Glynn County, Georgia",84105,48757,17376,18482
173,0500000US13135,"Gwinnett County, Georgia",930272,584719,97554,167039
174,0500000US13139,"Hall County, Georgia",202448,121792,30657,44728
175,0500000US13151,"Henry County, Georgia",233177,146328,27832,34436
176,0500000US13153,"Houston County, Georgia",155680,96302,19712,31123
177,0500000US13157,"Jackson County, Georgia",71965,42732,10647,15443
178,0500000US13185,"Lowndes County, Georgia",112752,70559,14374,35437
179,0500000US13215,"Muscogee County, Georgia",189785,115561,26431,53391
180,0500000US13217,"Newton County, Georgia",110020,67170,14452,29103
181,0500000US13223,"Paulding County, Georgia",167704,106260,17766,21074
182,0500000US13245,"Richmond County, Georgia",192080,118385,28615,58065
183,0500000US13247,"Rockdale County, Georgia",89936,54600,13565,26680
184,0500000US13255,"Spalding County, Georgia",64851,37767,12009,15623
185,0500000US13285,"Troup County, Georgia",67642,41591,10367,22201
186,0500000US13295,"Walker County, Georgia",67762,40400,12664,18052
187,0500000US13297,"Walton County, Georgia",93319,56121,14716,17884
188,0500000US13313,"Whitfield County, Georgia",102796,61600,14769,25466
189,0500000US15001,"Hawaii County, Hawaii",198625,112219,43645,42722
190,0500000US15003,"Honolulu County, Hawaii",943455,567181,174983,118746
191,0500000US15007,"Kauai County, Hawaii",71467,40882,14996,10064
192,0500000US15009,"Maui County, Hawaii",165518,98120,31968,25619
193,0500000US16001,"Ada County, Idaho",470046,290096,70270,68574
194,0500000US16005,"Bannock County, Idaho",85173,51358,12090,22090
195,0500000US16019,"Bonneville County, Idaho",118274,66727,15400,23673
196,0500000US16027,"Canyon County, Idaho",226004,131036,32166,48886
197,0500000US16055,"Kootenai County, Idaho",163518,95110,31482,32057
198,0500000US16083,"Twin Falls County, Idaho",86152,47892,13802,17662
199,0500000US17001,"Adams County, Illinois",63738,37321,12476,12656
200,0500000US17019,"Champaign County, Illinois",194307,128314,27477,56726
201,0500000US17031,"Cook County, Illinois",5061831,3208503,754901,1054197
202,0500000US17037,"DeKalb County, Illinois",100352,65058,13069,19271
203,0500000US17043,"DuPage County, Illinois",910155,559126,145131,95053
204,0500000US17089,"Kane County, Illinois",524677,320289,74609,73019
205,0500000US17091,"Kankakee County, Illinois",105150,63862,17761,21415
206,0500000US17093,"Kendall County, Illinois",128659,78094,14585,9446
207,0500000US17097,"Lake County, Illinois",679573,414365,100245,84218
208,0500000US17099,"LaSalle County, Illinois",104738,62394,20161,20677
209,0500000US17111,"McHenry County, Illinois",304840,189081,45659,28721
210,0500000US17113,"McLean County, Illinois",161595,102905,22709,36411
211,0500000US17115,"Macon County, Illinois",100138,57381,20343,24024
212,0500000US17119,"Madison County, Illinois",257967,156328,44958,46605
213,0500000US17143,"Peoria County, Illinois",174216,102400,30216,43292
214,0500000US17161,"Rock Island County, Illinois",136642,78918,26653,30945
215,0500000US17163,"St. Clair County, Illinois",254964,155222,40850,50778
216,0500000US17167,"Sangamon County, Illinois",190267,113354,35239,38466
217,0500000US17179,"Tazewell County, Illinois",128884,73983,25110,21582
218,0500000US17183,"Vermilion County, Illinois",72794,41234,14170,22338
219,0500000US17197,"Will County, Illinois",680639,422472,91041,73260
220,0500000US17199,"Williamson County, Illinois",63954,37447,12631,13026
221,0500000US17201,"Winnebago County, Illinois",277569,164792,48875,74171
222,0500000US18003,"Allen County, Indiana",373251,222704,55092,76987
223,0500000US18005,"Bartholomew County, Indiana",82540,49294,13625,18229
224,0500000US18011,"Boone County, Indiana",66683,40367,9065,9838
225,0500000US18019,"Clark County, Indiana",116857,71443,19259,25158
226,0500000US18035,"Delaware County, Indiana",106480,67853,19058,33049
227,0500000US18039,"Elkhart County, Indiana",201420,116465,30187,38942
228,0500000US18043,"Floyd County, Indiana",76516,46692,12209,13988
229,0500000US18053,"Grant County, Indiana",59814,34552,12112,14392
230,0500000US18057,"Hamilton County, Indiana",335217,202885,43849,22998
231,0500000US18059,"Hancock County, Indiana",77218,47159,12896,9518
232,0500000US18063,"Hendricks County, Indiana",165335,102379,24049,12250
233,0500000US18067,"Howard County, Indiana",80726,46865,15431,15855
234,0500000US18081,"Johnson County, Indiana",154441,94549,22939,15336
235,0500000US18085,"Kosciusko County, Indiana",77978,45822,13344,13503
236,0500000US18089,"Lake County, Indiana",479832,288240,80422,109081
237,0500000US18091,"LaPorte County, Indiana",101804,59911,19011,24182
238,0500000US18095,"Madison County, Indiana",122962,72496,23854,28784
239,0500000US18097,"Marion County, Indiana",943196,594297,120556,252288
240,0500000US18105,"Monroe County, Indiana",131954,90988,19194,38625
241,0500000US18109,"Morgan County, Indiana",69117,42259,11470,11017
242,0500000US18127,"Porter County, Indiana",166619,102509,27394,25294
243,0500000US18141,"St. Joseph County, Indiana",258532,154440,42271,60309
244,0500000US18157,"Tippecanoe County, Indiana",178814,117279,21638,46420
245,0500000US18163,"Vanderburgh County, Indiana",174496,106293,29994,43542
246,0500000US18167,"Vigo County, Indiana",98462,60742,17237,29603
247,0500000US18177,"Wayne County, Indiana",62747,36231,12202,16788
248,0500000US19013,"Black Hawk County, Iowa",126488,77150,21611,25927
249,0500000US19049,"Dallas County, Iowa",92985,57161,10948,7488
250,0500000US19061,"Dubuque County, Iowa",93941,54682,17410,15353
251,0500000US19103,"Johnson County, Iowa",143912,96093,18153,32848
252,0500000US19113,"Linn County, Iowa",221056,134650,35421,40282
253,0500000US19153,"Polk County, Iowa",481812,297252,64989,83509
254,0500000US19155,"Pottawattamie County, Iowa",91059,53484,16381,19439
255,0500000US19163,"Scott County, Iowa",169534,101913,27457,31522
256,0500000US19169,"Story County, Iowa",85421,58501,12141,20182
257,0500000US19193,"Woodbury County, Iowa",100212,59015,15168,21986
258,0500000US20015,"Butler County, Kansas",63328,36235,10416,11603
259,0500000US20045,"Douglas County, Kansas",114055,75802,16012,26602
260,0500000US20091,"Johnson County, Kansas",595909,365551,87845,55089
261,0500000US20103,"Leavenworth County, Kansas",75850,45810,11657,10551
262,0500000US20161,"Riley County, Kansas",64060,45520,6778,20860
263,0500000US20173,"Sedgwick County, Kansas",508791,304577,75484,99517
264,0500000US20177,"Shawnee County, Kansas",172033,100752,31737,26441
265,0500000US20209,"Wyandotte County, Kansas",163799,98323,20229,54368
266,0500000US21015,"Boone County, Kentucky",131133,80239,18193,15759
267,0500000US21029,"Bullitt County, Kentucky",81080,50264,13452,11461
268,0500000US21037,"Campbell County, Kentucky",90333,56074,14974,15195
269,0500000US21047,"Christian County, Kentucky",63975,36285,8698,22257
270,0500000US21059,"Daviess County, Kentucky",98704,57475,16989,27163
271,0500000US21067,"Fayette County, Kentucky",310470,201841,42812,76210
272,0500000US21093,"Hardin County, Kentucky",106800,65751,15933,18525
273,0500000US21111,"Jefferson County, Kentucky",750585,460622,124667,166002
274,0500000US21117,"Kenton County, Kentucky",165262,101999,24049,29883
275,0500000US21145,"McCracken County, Kentucky",64066,37115,12278,16423
276,0500000US21151,"Madison County, Kentucky",86053,54380,12749,24287
277,0500000US21185,"Oldham County, Kentucky",63120,37211,9530,4857
278,0500000US21227,"Warren County, Kentucky",125327,79178,16318,28727
279,0500000US22005,"Ascension Parish, Louisiana",125435,76024,16135,16967
280,0500000US22015,"Bossier Parish, Louisiana",123789,75957,17747,33605
281,0500000US22017,"Caddo Parish, Louisiana",235478,138707,41295,83711
282,0500000US22019,"Calcasieu Parish, Louisiana",200295,118613,30690,60236
283,0500000US22033,"East Baton Rouge Parish, Louisiana",430841,268922,62633,115418
